date,FXEURCAD,FXUSDCAD
2018-01-22,1.5258,1.2458
2018-01-23,1.5293,1.2454
2018-01-24,1.5291,1.2341
2018-01-25,1.5363,1.2323
2018-01-26,1.5314,1.2321
2018-01-29,1.5257,1.2335
2018-01-30,1.5300,1.2328
2018-01-31,1.5286,1.2293
2018-02-01,1.5331,1.2288
2018-02-02,1.5420,1.2380
2018-02-05,1.5500,1.2483
2018-02-06,1.5495,1.2530
2018-02-07,1.5423,1.2546
2018-02-08,1.5429,1.2585
2018-02-09,1.5431,1.2609
2018-02-12,1.5465,1.2603
2018-02-13,1.5566,1.2600
2018-02-14,1.5566,1.2562
2018-02-15,1.5617,1.2507
2018-02-16,1.5595,1.2540
2018-02-20,1.5579,1.2622
2018-02-21,1.5608,1.2671
2018-02-22,1.5664,1.2709
2018-02-23,1.5580,1.2668
2018-02-26,1.5612,1.2686
2018-02-27,1.5613,1.2740
2018-02-28,1.5638,1.2809
2018-03-01,1.5683,1.2851
2018-03-02,1.5878,1.2891
2018-03-05,1.5993,1.2977
2018-03-06,1.5998,1.2898
2018-03-07,1.6062,1.2947
2018-03-08,1.5950,1.2927
2018-03-09,1.5809,1.2840
2018-03-12,1.5805,1.2830
2018-03-13,1.5988,1.2912
2018-03-14,1.6010,1.2944
2018-03-15,1.6063,1.3032
2018-03-16,1.6083,1.3088
2018-03-19,1.6124,1.3079
2018-03-20,1.6043,1.3077
2018-03-21,1.5921,1.2958
2018-03-22,1.5890,1.2908
2018-03-23,1.5882,1.2856
2018-03-26,1.6029,1.2886
2018-03-27,1.5957,1.2869
2018-03-28,1.5924,1.2902
2018-03-29,1.5867,1.2894
2018-04-02,1.5890,1.2908
2018-04-03,1.5721,1.2812
2018-04-04,1.5743,1.2809
2018-04-05,1.5637,1.2776
2018-04-06,1.5662,1.2764
2018-04-09,1.5678,1.2729
2018-04-10,1.5586,1.2618
2018-04-11,1.5573,1.2584
2018-04-12,1.5520,1.2596
2018-04-13,1.5530,1.2597
2018-04-16,1.5569,1.2579
2018-04-17,1.5509,1.2552
2018-04-18,1.5620,1.2614
2018-04-19,1.5611,1.2633
2018-04-20,1.5636,1.2728
2018-04-23,1.5681,1.2833
2018-04-24,1.5685,1.2828
2018-04-25,1.5674,1.2869
2018-04-26,1.5601,1.2862
2018-04-27,1.5558,1.2857
2018-04-30,1.5509,1.2836
2018-05-01,1.5448,1.2867
2018-05-02,1.5393,1.2851
2018-05-03,1.5409,1.2862
2018-05-04,1.5368,1.2861
2018-05-07,1.5335,1.2864
2018-05-08,1.5380,1.2963
2018-05-09,1.5254,1.2856
2018-05-10,1.5217,1.2775
2018-05-11,1.5269,1.2779
2018-05-14,1.5289,1.2775
2018-05-15,1.5262,1.2876
2018-05-16,1.5110,1.2809
2018-05-17,1.5103,1.2801
2018-05-18,1.5163,1.2880
2018-05-22,1.5065,1.2786
2018-05-23,1.5066,1.2876
2018-05-24,1.5121,1.2891
2018-05-25,1.5132,1.2974
2018-05-28,1.5114,1.3001
2018-05-29,1.5042,1.3020
2018-05-30,1.5014,1.2897
2018-05-31,1.5118,1.2948
2018-06-01,1.5124,1.2964
2018-06-04,1.5129,1.2928
2018-06-05,1.5194,1.2993
2018-06-06,1.5204,1.2913
2018-06-07,1.5329,1.2972
2018-06-08,1.5250,1.2962
2018-06-11,1.5324,1.2993
2018-06-12,1.5311,1.3004
2018-06-13,1.5295,1.2988
2018-06-14,1.5193,1.3052
2018-06-15,1.5298,1.3177
2018-06-18,1.5334,1.3208
2018-06-19,1.5359,1.3276
2018-06-20,1.5408,1.3301
2018-06-21,1.5442,1.3310
2018-06-22,1.5503,1.3308
2018-06-25,1.5557,1.3303
2018-06-26,1.5514,1.3306
2018-06-27,1.5419,1.3307
2018-06-28,1.5357,1.3267
2018-06-29,1.5360,1.3168
2018-07-03,1.5329,1.3154
2018-07-04,1.5316,1.3143
2018-07-05,1.5355,1.3129
2018-07-06,1.5392,1.3105
2018-07-09,1.5397,1.3097
2018-07-10,1.5394,1.3125
2018-07-11,1.5399,1.3151
2018-07-12,1.5374,1.3166
2018-07-13,1.5361,1.3171
2018-07-16,1.5385,1.3137
2018-07-17,1.5398,1.3187
2018-07-18,1.5371,1.3204
2018-07-19,1.5401,1.3255
2018-07-20,1.5392,1.3142
2018-07-23,1.5396,1.3156
2018-07-24,1.5383,1.3157
2018-07-25,1.5303,1.3088
2018-07-26,1.5242,1.3065
2018-07-27,1.5221,1.3062
2018-07-30,1.5244,1.3021
2018-07-31,1.5239,1.3017
2018-08-01,1.5177,1.3002
2018-08-02,1.5108,1.3014
2018-08-03,1.5043,1.2983
2018-08-07,1.5099,1.3023
2018-08-08,1.5141,1.3052
2018-08-09,1.5085,1.3040
2018-08-10,1.4971,1.3113
2018-08-13,1.4981,1.3136
2018-08-14,1.4869,1.3087
2018-08-15,1.4887,1.3138
2018-08-16,1.4961,1.3152
2018-08-17,1.4932,1.3081
2018-08-20,1.4954,1.3065
2018-08-21,1.5046,1.3036
2018-08-22,1.5096,1.3016
2018-08-23,1.5098,1.3063
2018-08-24,1.5144,1.3036
2018-08-27,1.5152,1.2986
2018-08-28,1.5129,1.2917
2018-08-29,1.5118,1.2931
2018-08-30,1.5138,1.2980
2018-08-31,1.5165,1.3055
2018-09-04,1.5246,1.3182
2018-09-05,1.5318,1.3185
2018-09-06,1.5336,1.3188
2018-09-07,1.5232,1.3164
2018-09-10,1.5267,1.3163
2018-09-11,1.5225,1.3141
2018-09-12,1.5122,1.3014
2018-09-13,1.5180,1.2997
2018-09-14,1.5184,1.3033
2018-09-17,1.5215,1.3019
2018-09-18,1.5179,1.2992
2018-09-19,1.5115,1.2947
2018-09-20,1.5180,1.2905
2018-09-21,1.5173,1.2916
2018-09-24,1.5226,1.2935
2018-09-25,1.5246,1.2948
2018-09-26,1.5244,1.2975
2018-09-27,1.5227,1.3045
2018-09-28,1.5020,1.2945
2018-10-01,1.4831,1.2803
2018-10-02,1.4801,1.2817
2018-10-03,1.4791,1.2832
2018-10-04,1.4849,1.2900
2018-10-05,1.4901,1.2936
2018-10-09,1.4878,1.2965
2018-10-10,1.4974,1.2992
2018-10-11,1.5093,1.3038
2018-10-12,1.5063,1.3031
2018-10-15,1.5053,1.2993
2018-10-16,1.4988,1.2938
2018-10-17,1.4978,1.2994
2018-10-18,1.4991,1.3057
2018-10-19,1.5064,1.3104
2018-10-22,1.5036,1.3105
2018-10-23,1.5029,1.3098
2018-10-24,1.4846,1.3029
2018-10-25,1.4878,1.3076
2018-10-26,1.4921,1.3108
2018-10-29,1.4935,1.3119
2018-10-30,1.4917,1.3133
2018-10-31,1.4876,1.3142
2018-11-01,1.4926,1.3088
2018-11-02,1.4941,1.3105
2018-11-05,1.4930,1.3096
2018-11-06,1.4991,1.3130
2018-11-07,1.5013,1.3096
2018-11-08,1.4960,1.3114
2018-11-09,1.4974,1.3206
2018-11-13,1.4926,1.3241
2018-11-14,1.4969,1.3235
2018-11-15,1.4945,1.3202
2018-11-16,1.4998,1.3154
2018-11-19,1.5090,1.3182
2018-11-20,1.5098,1.3259
2018-11-21,1.5124,1.3270
2018-11-22,1.5060,1.3205
2018-11-23,1.5000,1.3228
2018-11-26,1.5008,1.3230
2018-11-27,1.5018,1.3289
2018-11-28,1.5062,1.3302
2018-11-29,1.5108,1.3275
2018-11-30,1.5068,1.3301
2018-12-03,1.4968,1.3191
2018-12-04,1.5016,1.3219
2018-12-05,1.5150,1.3353
2018-12-06,1.5254,1.3404
2018-12-07,1.5155,1.3299
2018-12-10,1.5222,1.3379
2018-12-11,1.5186,1.3402
2018-12-12,1.5166,1.3346
2018-12-13,1.5172,1.3359
2018-12-14,1.5112,1.3379
2018-12-17,1.5203,1.3399
2018-12-18,1.5293,1.3454
2018-12-19,1.5349,1.3450
2018-12-20,1.5454,1.3495
2018-12-21,1.5453,1.3566
2018-12-24,1.5513,1.3589
2018-12-27,1.5582,1.3641
2018-12-28,1.5610,1.3638
2018-12-31,1.5613,1.3642
2019-01-02,1.5441,1.3600
2019-01-03,1.5376,1.3501
2019-01-04,1.5278,1.3410
2019-01-07,1.5266,1.3313
2019-01-08,1.5209,1.3293
2019-01-09,1.5229,1.3221
2019-01-10,1.5237,1.3234
2019-01-11,1.5222,1.3259
2019-01-14,1.5218,1.3269
2019-01-15,1.5139,1.3266
2019-01-16,1.5104,1.3248
2019-01-17,1.5139,1.3294
2019-01-18,1.5079,1.3260
2019-01-21,1.5115,1.3297
2019-01-22,1.5154,1.3340
2019-01-23,1.5189,1.3348
2019-01-24,1.5123,1.3351
2019-01-25,1.5105,1.3256
2019-01-28,1.5156,1.3260
2019-01-29,1.5157,1.3266
2019-01-30,1.5084,1.3192
2019-01-31,1.5066,1.3144
2019-02-01,1.5015,1.3095
2019-02-04,1.5011,1.3127
2019-02-05,1.4992,1.3134
2019-02-06,1.5006,1.3190
2019-02-07,1.5079,1.3285
2019-02-08,1.5037,1.3270
2019-02-11,1.5000,1.3294
2019-02-12,1.4990,1.3248
2019-02-13,1.4940,1.3240
2019-02-14,1.5015,1.3298
2019-02-15,1.4961,1.3266
2019-02-19,1.4998,1.3238
2019-02-20,1.4948,1.3169
2019-02-21,1.4963,1.3196
2019-02-22,1.4938,1.3173
2019-02-25,1.4957,1.3174
2019-02-26,1.5007,1.3195
2019-02-27,1.4954,1.3145
2019-02-28,1.4990,1.3169
2019-03-01,1.5083,1.3260
2019-03-04,1.5089,1.3317
2019-03-05,1.5091,1.3345
2019-03-06,1.5179,1.3420
2019-03-07,1.5084,1.3438
2019-03-08,1.5081,1.3422
2019-03-11,1.5077,1.3414
2019-03-12,1.5096,1.3378
2019-03-13,1.5069,1.3326
2019-03-14,1.5062,1.3327
2019-03-15,1.5107,1.3342
2019-03-18,1.5132,1.3345
2019-03-19,1.5090,1.3292
2019-03-20,1.5146,1.3317
2019-03-21,1.5194,1.3366
2019-03-22,1.5144,1.3411
2019-03-25,1.5190,1.3420
2019-03-26,1.5109,1.3386
2019-03-27,1.5101,1.3414
2019-03-28,1.5078,1.3429
2019-03-29,1.5002,1.3363
2019-04-01,1.4961,1.3337
2019-04-02,1.4941,1.3344
2019-04-03,1.4975,1.3324
2019-04-04,1.4984,1.3357
2019-04-05,1.5020,1.3386
2019-04-08,1.5008,1.3325
2019-04-09,1.5011,1.3316
2019-04-10,1.5010,1.3326
2019-04-11,1.5066,1.3378
2019-04-12,1.5072,1.3329
2019-04-15,1.5098,1.3354
2019-04-16,1.5088,1.3361
2019-04-17,1.5064,1.3332
2019-04-18,1.5038,1.3382
2019-04-22,1.5031,1.3353
2019-04-23,1.5050,1.3421
2019-04-24,1.5063,1.3475
2019-04-25,1.5026,1.3493
2019-04-26,1.5015,1.3460
2019-04-29,1.5029,1.3456
2019-04-30,1.5055,1.3423
2019-05-01,1.5070,1.3416
2019-05-02,1.5055,1.3462
2019-05-03,1.5021,1.3429
2019-05-06,1.5068,1.3456
2019-05-07,1.5068,1.3476
